Anarchism	אנרכיזם
United States Department of Defense	מחלקת ההגנה של ארצות הברית
Ahron Soloveichik	אהרן סולובייצ'יק
Chinese bronzeware	קטגוריה:כלי ברונזה סינים
DeMarco Johnson	דימרקו ג'ונסון
Battleships of China	קטגוריה:ספינות מלחמה סיניות
René Descartes	קטגוריה:רנה דקארט
Shabazi	שבזי
Gerd Zewe	גרד צווה
The Hazing	טקס החניכה
Surf Nicaragua	Surf Nicaragua
Herbert Zimmermann	הרברט צימרמן
South West Pacific theatre of World War II	המערכה בדרום מערב האוקיינוס השקט
Heal	Heal
Roger Kornberg	רוג'ר דויד קורנברג
Seal of American Samoa	סמל סמואה האמריקנית
Still Ignorant	Still Ignorant
A Question	A Question
Bologna	קטגוריה:בולוניה
Orionids	אוריונידים
Spin-off	ספין-אוף
Who Shot Ya?	Who Shot Ya?
Don't Let the Sun Go Down on Me	Don't Let the Sun Go Down on Me
Dutch East Indies campaign	קרב איי הודו המזרחית
Pyrenees	קטגוריה:הרי הפירנאים
Maurice Fox	מוריס פוקס
Energy in Canada	קטגוריה:קנדה: אנרגיה
Sander van Doorn	סאנדר ואן דורן
Common house gecko	שממית הבתים
Scotland squad 1986 FIFA World Cup	תבנית:נבחרת סקוטלנד במונדיאל 1986
Dominica Grand Bay	גראנד ביי
Rasch	רש
Scotland squad 1982 FIFA World Cup	תבנית:נבחרת סקוטלנד במונדיאל 1982
Synagogues in New York City	קטגוריה:ניו יורק: בתי כנסת
Dieter Burdenski	דיטר בורדנסקי
International law scholars	קטגוריה:חוקרי המשפט הבינלאומי
Cosme de Torrès	קוסמה דה טורס
Big Ben	ביג בן
Transport in Tunisia	קטגוריה:תוניסיה: תחבורה
Wireless	קטגוריה:קשר רדיו
Malena Ernman	מאלנה ארנמן
Ernst Hoppenberg	ארנסט הופנברג
Old City	תבנית:העיר העתיקה
Har Hevron Regional Council	מועצה אזורית הר חברון
East Germany at the Olympics	גרמניה המזרחית במשחקים האולימפיים
Juan Antonio Corbalán	חואן אנטוניו קורבלאן
MSConfig	MSConfig
Tim Tam	טים טאם
José Sanfilippo	חוסה סנפיליפו
Placebo	תבנית:פלסיבו
Ratziti Sheteda	רציתי שתדע
Culture of Jerusalem	קטגוריה:ירושלים: תרבות
Glaciers of Alaska	קטגוריה:אלסקה: קרחונים
Cavies	קטגוריה:קביתיים
Battle of Karameh	פעולת כראמה
Infidel: My Life	כופרת
Taha Muhammad Ali	טהא מוחמד עלי
Salty dog	סולטי דוג
Giovanna Trillini	ג'ובנה טריליני
Israel Hamaam	ואדי אל-חמאם
Qula	קולה
Goodwill	מוניטין
Giovanni Leonardo Di Bona	ג'ובני לאונרדו די בונה
Tom Ashley	טום אשלי
A.S. Roma managers	קטגוריה:מאמני רומא
A.C. Milan managers	קטגוריה:מאמני מילאן
S.S. Lazio managers	קטגוריה:מאמני לאציו
Simeon Simeonov	סמיון סמיונוב
Malha Mall	קניון ירושלים
Udinese Calcio managers	קטגוריה:מאמני אודינזה
Torino F.C. managers	קטגוריה:מאמני טורינו
Lebanon Kafr Kila	כפר כילא
Transport in Senegal	קטגוריה:סנגל: תחבורה
Fatima Gate	שער פאטמה
Parma F.C. managers	קטגוריה:מאמני פארמה
S.S.C. Napoli managers	קטגוריה:מאמני נאפולי
Jaffa Road bus bombings	הפיגועים בקו 18 בירושלים
Cagliari Calcio managers	קטגוריה:מאמני קליארי
Phil Schiller	פיל שילר
Genoa C.F.C. managers	קטגוריה:מאמני גנואה
Bologna F.C. 1909 managers	קטגוריה:מאמני בולוניה
French singer-songwriters	קטגוריה:זמרים-יוצרים צרפתים
Isaac ben Moses Arama	יצחק עראמה
Moses Capsali	משה קפשאלי
Infobox central bank	תבנית:בנק מרכזי
Jupp Kapellmann	יופ קאפלמן
Bandiera Rossa	דגל אדום
Nikolai Erdman	ניקולאי ארדמן
German princesses	קטגוריה:נסיכות גרמניות
Iancu Flondor	ינקו פלונדור
Basketball in Cyprus	קטגוריה:קפריסין: כדורסל
Juozas Ambrazevičius	יואזאס אמברזוויצ'וס-ברזאיטיס
Mishmarot	משמרות
Basketball teams in Bosnia and Herzegovina	קטגוריה:קבוצות כדורסל בוסניות
Roman Greenberg	רומן גרינברג
Larnaca Salt Lake	אגמי המלח של לרנקה
Congregation Shearith Israel	קהילת שארית ישראל
Notability and importance templates	קטגוריה:תבניות חשיבות
Russia	רוסיה
Six Thinking Hats	כובעי החשיבה של דה בונו
Israel–Turkey relations	יחסי טורקיה-ישראל
Nasim Nisr	נסים נסר
Abraham Saba	אברהם סבע
Wittgenstein's Poker	תקרית הדוקרן
Papuan eagle	הרפיה ניו-גינאית
Slovenia squad 2002 FIFA World Cup	תבנית:נבחרת סלובניה במונדיאל 2002
Leslie Waller	לזלי וולר
South Africa squad 2002 FIFA World Cup	תבנית:נבחרת דרום אפריקה במונדיאל 2002
Calcio Catania managers	קטגוריה:מאמני קטניה
Football managers in Italy by club	קטגוריה:מאמני כדורגל באיטליה לפי קבוצה
Georgia-Russia	תבנית:רוסיה-גאורגיה
ThT	משתמש:ThT
Paintings of the Louvre	קטגוריה:הלובר: ציורים
Helmar Lerski	הלמר לרסקי
Sarcophagus of the Spouses	סרקופג הזוג הנשוי
Avi Ivgi	אבי איבגי
Tupac Shakur	תבנית:טופאק שאקור
Chengdu Aircraft Industry Group	קבוצת התעשייה האווירית צ'נגדו
Shenyang Aircraft Corporation	תאגיד התעופה שניאנג
Moses ben Isaac Judah Lima	משה לימא
Collision	התנגשות
Symphony No. 6	הסימפוניה השישית
José Luis Rubiera	חוסה לואיס רוביירה
Sitting Targets	Sitting Targets
Saul Levi Morteira	שאול מורטירה
Water Drops on Burning Rocks	טיפות על אבנים לוהטות
Amanda Forsyth	אמנדה פורסייט
Newsom	ניוסום
Hungary national football team managers	קטגוריה:מאמני נבחרת הונגריה בכדורגל
Mountain men	קטגוריה:אנשי הרים
Sochi	קטגוריה:סוצ'י
Menachem Mendel Krochmal	מנחם מנדל קרוכמל
Joseph Escapa	יוסף איסקפה
Meir ben Judah Leib Poppers	מאיר הכהן פופרש
Lensky	לנסקי
Dominica Soufrière	סופרייר
Demographics of Moldova	קטגוריה:מולדובה: דמוגרפיה
Modeling	קטגוריה:דוגמנות
Nobel Peace Prize laureates	קטגוריה:זוכי פרס נובל לשלום
What Goes Around... Comes Around	What Goes Around... Comes Around
Le Havre AC players	קטגוריה:כדורגלני לה הבר
List of Israeli assassinations	סיכול ממוקד#פלסטינים שחוסלו בסיכול ממוקד
Point of view	נקודת מבט
Planet Pop	Planet Pop
Faqqua	פקועה
Jean Tinguely	ז'אן טינגלי
Adenium obesum	אדניום נפוח
Acrantophis madagascariensis	חנק קרקע מלגשי
Mexico squad 1998 FIFA World Cup	תבנית:נבחרת מקסיקו במונדיאל 1998
Footballers in Costa Rica by club	קטגוריה:כדורגלנים לפי קבוצה בקוסטה ריקה
Fabergé eggs	קטגוריה:ביצי פברז'ה
Nahum Eitingon	נחום אייטינגון
Rabfak	רבפק
Mexico squad 1994 FIFA World Cup	תבנית:נבחרת מקסיקו במונדיאל 1994
Joel Lebowitz	יואל ליבוביץ
South Korean writers	קטגוריה:סופרים דרום קוריאנים
Mrs. Robinson	Mrs. Robinson
Rice riots of 1918	מהומות האורז של 1918
Prince Tagoe	פרינס טגואה
Benny Peled	בני פלד
Industrial control system	בקרה תעשייתית
Paul Kadak	פול קדק
Heavy metal	פורטל:הבי מטאל
Japanese invasion of Manchuria	הפלישה היפנית למנצ'וריה
Pnina Salzman	פנינה זלצמן
Rothschild Boulevard	שדרות רוטשילד
Gonzalo Higuaín	גונסאלו היגוואין
Black Moon	ירח שחור
San Marco	סן מרקו
Lizrael	משתמש:אליזבט
Siegmund George Warburg	זיגמונד ג'ורג' ורבורג
Ecuador women's national football team	נבחרת אקוודור בכדורגל נשים
Jan Schlaudraff	יאן שלאודראף
Liatl13	משתמש:מישהי שאיכפת לה
Rudy Haddad	רודי חדד
Jeff Lindsay	ג'ף לינדסי
Cuban Revolution	קטגוריה:המהפכה הקובנית
Kłodawa	קלודאווה
Baritone	בריטון
Trentemøller	Trentemøller
Photography	פורטל:צילום
Directors of the Mossad	קטגוריה:ראשי המוסד
Olympic gold medalists for Brazil	קטגוריה:אלופים אולימפיים מברזיל
Psychology	תבנית:פסיכולוגיה
Mujdei	מוז'דיי
Zaharia Stancu	זכריה סטאנקו
Nesher Malt	בירה נשר
Pelagius of Constance	פלגיוס הקדוש מקונסטנץ
Courtney	קורטני
IRISL Group	קווי ספנות איראניים
Duchy of Saxe-Wittenberg	דוכסות סקסוניה-ויטנברג
Caste system in India	ארבע הווארנות
Nathan of Gaza	נתן העזתי
Klaus Fichtel	קלאוס פיכטל
Manu	מאנו
Jack Shepherd	ג'ק שפרד
Daniel Frank	דניאל פרנק
Granoblastic	גרנובלסטי
Dialogues of Plato	תבנית:דיאלוגים אפלטוניים
Medgaz	צינור הגז מדגז
The Expulsion of Heliodorus from the Temple	גירוש הליודורוס מהמקדש
Hohensalzburg Castle	טירת זלצבורג
Transport in Ethiopia	קטגוריה:אתיופיה: תחבורה
Scottish royal houses	קטגוריה:בתי מלוכה סקוטיים
Diospyros ebenum	הובנה
Hannes Löhr	הנס להר
Dijkstra Prize	פרס דייקסטרה
Elettaria cardamomum	הל
Vilkitsky Strait	מצר וילקיצקי
Leona Lewis	ליאונה לואיס
Libraries in Egypt	קטגוריה:מצרים: ספריות
Chava Rosenfarb	חוה רוזנפרב
Anglo-Persian Agreement	ההסכם האנגלו-איראני
Israel squad 1970 FIFA World Cup	תבנית:נבחרת ישראל במונדיאל 1970
Book scanning	סריקת ספר
Islamic religious leaders	קטגוריה:אנשי דת מוסלמים
Georgia–Russia relations	יחסי גאורגיה-רוסיה
Filippo Reef	שונית פיליפו
Opisthodomos	אופיסטודומוס
Raza Jaffrey	ראזה ג'אפרי
Micah's Idol	פסל מיכה
Sahara	Sahara
Haluza	חלוצה
Where No Life Dwells	Where No Life Dwells
Víctor Muñoz	ויקטור מוניוס
Alite	אליט
World Wetlands Day	יום הביצות הבינלאומי
Brukenthal National Museum	המוזיאון הלאומי ברוקנטל
Plateau–Rayleigh instability	אי יציבות פליטו ריילי
Black swan theory	תאוריית הברבור השחור
Aaron Lapapa	אהרן לפפה
Joseph Trani	יוסף מטראני
Moses ben Isaac Bonems	משה בן יצחק בונמש
IDAS	אידאס
Nobel laureates in Physics	קטגוריה:זוכי פרס נובל לפיזיקה
Nobel laureates in Physiology or Medicine	קטגוריה:זוכי פרס נובל לפיזיולוגיה או לרפואה
PH7	PH7
Nobel laureates in Chemistry	קטגוריה:זוכי פרס נובל לכימיה
Nobel laureates in Literature	קטגוריה:זוכי פרס נובל לספרות
Ettore Messina	אטורה מסינה
Nobel laureates in Economics	קטגוריה:זוכי פרס נובל לכלכלה
Cultural Judaism	יהדות כתרבות
Arsenal de Sarandí footballers	קטגוריה:כדורגלני ארסנאל דה סארנדי
Godoy Cruz footballers	קטגוריה:כדורגלני גודוי קרוס
Quilmes footballers	קטגוריה:כדורגלני קילמס אתלטיקו קלוב
Moriah	מוריה
TRG	עץ#טבעות העץ
Solid-state drive	Solid state drive
Shalom Hanoch	שלום חנוך
Psyche Revived by Cupid's Kiss	פסיכה מתעוררת מנשיקת קופידון
Finger snapping	הכאה באצבע צרדה
Tsegede	סגדה
2006–07 Israeli Premier League	עונת 2006/2007 בליגת העל
Gretel Bergmann	גרטל ברגמן
Menasim/Userboxes/User Google	תבנית:משתמש גוגל
Enderta	אנדרתה
Basketball Jones featuring Tyrone Shoelaces	Basketball Jones
Greece Lakka	לאקה
Khazar Lankaran Central Stadium	אצטדיון לנקראן סיטי
Biography	ביוגרפיה
Kitchen garden	גינה קהילתית
History of the Jews in Azerbaijan	יהדות אזרבייג'ן
Ed Stoppard	אד סטופארד
Groot	גרוט
Shabak people	שבאקים
Education in Serbia	קטגוריה:סרביה: חינוך
Foreign relations of Serbia	קטגוריה:סרביה: יחסי חוץ
1968 Olympics Black Power salute	הצדעת הכוח השחור באולימפיאדת מקסיקו
Cello Concerto in A major	הקונצ'רטו לצ'לו של דבוז'אק
Caroline Glick	קרוליין גליק
Huntress	הציידת
FC Spartaki Tbilisi	ספרטקי טביליסי
Johnny Quick	ג'וני קוויק
Rafael Gordillo	רפאל גורדיו
Håkan Juholt	הוקן יוהול
Pythagorean cup	גביע פיתגורס
Storytellers	קטגוריה:מספרי סיפורים
Without You I'm Nothing	Without You I'm Nothing
David Alroy	דוד אלרואי
Singaporean culture	קטגוריה:סינגפור: תרבות
Israeli choreographers	קטגוריה:כוריאוגרפים ישראלים
Israeli dancers	קטגוריה:רקדנים ישראלים
Sacred Reich albums	קטגוריה:אלבומי סייקרד רייך
Jews and Judaism in Canada	קטגוריה:יהדות קנדה
Honorarium	שכר סופרים
Michael Tree	מייקל טרי
Leibniz-Keks	ביסקוויט לייבניץ
Diane Setterfield	דיאן סטרפילד
Mezhbizh	חסידות מז'יבוז'
Types of cyclone	קטגוריה:סופות ציקלון
Miniature parks	קטגוריה:פארקי מיניאטורות
Pauline of the Agonizing Heart of Jesus	פאולינה הקדושה
Chocolate	שוקולד
Eye neoplasm	סרטן העין
Israeli–Palestinian conflict	תבנית:הסכסוך הישראלי פלסטיני
Lucy Punch	לוסי פאנץ'
Nicosia Selimiye Mosque	מסגד סלימייה
House of Lords	קטגוריה:בית הלורדים
Ginegar	גניגר
Got to Be There	Got to Be There
I Wanna Be Where You Are	I Wanna Be Where You Are
Anton Malloth	אנטון מלות
Llaima	יאימה
Moshe Leib Lilienblum	משה לייב ליליינבלום
Yehuda Leib Maimon	יהודה לייב פישמן מימון
Perry Watkins	פרי וטקינס
Bina	בינה
Søren Kam	סרן קאם
Kei Tomiyama	קיי טומיאמה
The 925 Building	בניין בנק הנטינגטון
Hermann Schapira	צבי הרמן שפירא
Celastraceae	קטגוריה:קלסטריים
Goal III: Taking on the World	גול! 3
Igor Netto	איגור נטו
Organizations based in Taiwan	קטגוריה:הרפובליקה הסינית: ארגונים
Root Down	Root Down
Sweden squad 1994 FIFA World Cup	תבנית:נבחרת שוודיה במונדיאל 1994
Wegera	וגרה
Chilga	צ'ילגה
Sweden squad 1990 FIFA World Cup	תבנית:נבחרת שוודיה במונדיאל 1990
Yaakov Culi	יעקב כולי
Attribution	ויקיפדיה:אמינות
Barbecue sauce	רוטב ברביקיו
Tolkien's legendarium	לגנדריום
Jesús Garay	חסוס גאראי
Dirty harry.jpg	תמונה:DirtyHarry.jpg
Yehoash	יהואש
Hillel Zeitlin	הלל צייטלין
Pincus Green	פנחס
André-Pierre Gignac	אנדרה פייר ז'יניאק
Uri Ariel	אורי אריאל
Infobox computer hardware bus	תבנית:אפיק מחשב
Play of Daniel	דניאל בגוב האריות
Switzerland squad 1994 FIFA World Cup	תבנית:נבחרת שווייץ במונדיאל 1994
Far Cry 2	Far Cry 2
Music educators	קטגוריה:מורים למוזיקה
Britannia Park	פארק בריטניה
Enter K	Enter K
The Churchills	הצ'רצ'ילים
Simchat Beit HaShoeivah	שמחת בית השואבה
European Olympic Committees	הוועדים האולימפיים האירופיים
Adolph Brodsky	אדולף ברודסקי
Nancy-Université	אוניברסיטת נאנסי
Museums in Georgia	קטגוריה:גאורגיה: מוזיאונים
Hellmesberger Quartet	רביעיית הלמסברגר
Transport in Afghanistan	קטגוריה:אפגניסטן: תחבורה
Israel Arts and Science Academy	התיכון הישראלי למדעים ולאמנויות
Regional councils	תבנית:מועצות אזוריות בישראל
Jonathan Littell	ג'ונתן ליטל
Playground slide	מגלשה
Sexual abuse	התעללות מינית
Manslaughter	הריגה
Five Finger Death Punch	Five Finger Death Punch
Sukkah	מסכת סוכה
Sukkah	סוכה
Gush Etzion Regional Council	תבנית:מועצה אזורית גוש עציון
Semitic peoples	קטגוריה:עמים שמיים
Roman consuls	קטגוריה:קונסולים ברומא העתיקה
Treaties of Spain	קטגוריה:ספרד: היסטוריה: חוזים והסכמים
Isaac ben Samuel	ר"י הזקן
Dominica Saint Joseph	סנט ג'וזף
Köppen	תבנית:קופן
Żychlin	ז'יכלין
Jewish grammarians	קטגוריה:בלשנים יהודים
Aminadav	עמינדב
Simokon/sandbox/Flowers	פרחים בעליית הגג
The Road	הדרך
Judah ben Isaac Messer Leon	יהודה בן יצחק מסר לאון
Panitumumab	וקטיביקס
Irvine faculty University of California	קטגוריה:סגל אוניברסיטת קליפורניה באירוויין
Néstor Gorosito	נסטור גורוסיטו
Shomron Regional Council	תבנית:מועצה אזורית שומרון
Shem-Tov ibn Falaquera	שם טוב בן יוסף אבן פלקירה
Software by year	קטגוריה:תוכנות לפי שנים
1999 software	קטגוריה:תוכנות שהושקו ב-1999
2001 software	קטגוריה:תוכנות שהושקו ב-2001
2000 software	קטגוריה:תוכנות שהושקו ב-2000
2006 software	קטגוריה:תוכנות שהושקו ב-2006
2007 software	קטגוריה:תוכנות שהושקו ב-2007
1998 software	קטגוריה:תוכנות שהושקו ב-1998
2002 software	קטגוריה:תוכנות שהושקו ב-2002
2003 software	קטגוריה:תוכנות שהושקו ב-2003
2004 software	קטגוריה:תוכנות שהושקו ב-2004
2005 software	קטגוריה:תוכנות שהושקו ב-2005
David Abudirham	דוד אבודרהם
Isaac ben Sheshet	ריב"ש
Rivash	ריב"ש
Kiddush levana	ברכת הלבנה
Dont look movieposter.jpg	תמונה:Dontlooknow.jpg
The Bucket List	מתים על החיים
Noriko Ohara	נוריקו אוהארה
Jamie Murray	ג'יימי מארי
Henri Dentz	אנרי פרנאן דנץ
Profiat Duran	פרופייט דוראן
Isaac Albalag	יצחק אלבלג
Cypriot mouse	עכבר קפריסין
Menashe Regional Council	תבנית:מועצה אזורית מנשה
Carl Heissler	קרל הייסלר
Dušan Švento	דושאן שבנטו
Joseph Hellmesberger Sr.	יוזף הלמסברגר האב
Darko Tasevski	דארקו טאסבסקי
Al-Ittihad	אל-איתיחאד
Axiom of choice	קטגוריה:אקסיומת הבחירה
Rodrigo Duterte	רודריגו דוטרטה
Coat of arms of Baden-Württemberg	סמל באדן-וירטמברג
Roman gladiators	קטגוריה:גלדיאטורים
Roman governors of Judea	קטגוריה:נציבים רומאים ביהודה
Postojna Cave	מערת פוסטוינה
National Football League owners	קטגוריה:בעלי קבוצות פוטבול
Turkish Nobel laureates	קטגוריה:זוכי פרס נובל טורקים
World Judo Championships	אליפות העולם בג'ודו
Mawwal	מואל
Israel Prize recipients	קטגוריה:זוכי פרס ישראל
Latium	לאטיום
World Heritage Sites in Estonia	תבנית:אתרי מורשת עולמית באסטוניה
Haifa International Film Festival	פסטיבל הסרטים הבינלאומי חיפה
Ars Magna	האומנות הגדולה
1883 by country	קטגוריה:1883 לפי מדינות
1887 by country	קטגוריה:1887 לפי מדינות
Steve Jobs	סטיב ג'ובס
Thumbelina	אצבעונית
Georgian wine	יין גאורגי
Salfit	סלפית
Chemical formulas	קטגוריה:כתיב כימי
Thugz Mansion	Thugz Mansion
Until the End of Time	Until the End of Time
Haris Alexiou	חאריס אלקסיו
Antonín Kraft	אנטונין קראפט
Heazlewoodite	הייזלוודיט
Hugo Gatti	הוגו גאטי
National parks of the United States	קטגוריה:ארצות הברית: פארקים לאומיים
Benjamin Graham formula	המודל של בנג'מין גראהם
Mysteries	קטגוריה:מסתורין
KF Skënderbeu Korçë	סקנדרבו קורצ'ה
Marcl1984	משתמש:Marcl1984
Bangladeshi Nobel laureates	קטגוריה:זוכי פרס נובל בנגלדשים
Spot market	שוק ספוט
Night of the Murdered Poets	הרוגי המלכות בברית המועצות
Sabahattin Ali	סבהאטין אלי
Kaunas Cathedral Basilica	בזיליקת קתדרלת קובנה
Limmud	לימוד
Kozova	קוזובה
Germán Denis	חרמן דניס
Seventh of Adar	ז' באדר
Free Hugs Campaign	חיבוק חינם
Justa and Rufina	חוסטה ורופינה
Courland Governorate	פלך קורלנד
Melamed katz	משתמש:מלמד כץ
Kingdoms of Wales	קטגוריה:ממלכות ויילס
T. and T.	צמד לעניין
English royal houses	קטגוריה:בתי מלוכה אנגליים
Siege of Constantinople	המצור הערבי הראשון על קונסטנטינופול
Hotaru Beam	הוטארו בים
System Of A Down-Hypnotize.jpg	תמונה:Hypnotize.jpg
Career portfolio	תיק עבודות
Michaela Bercu	מיכאלה ברקו
Bag	תיק
Gokigen Naname	קשור באלכסון
Judea and Samaria Area	תבנית:מחוז יהודה ושומרון
Tom Mulcair	תומאס מולקייר
Goishi Hiroi	גוישי הירוי
Vulvar cancer	סרטן הפות
Keisuke	קייסוקה
Dahme	דאמה
Stained Glass	ויטראז'
Geography of Antigua and Barbuda	קטגוריה:אנטיגואה וברבודה: גאוגרפיה
Stargate Atlantis intro.jpg	קובץ:Stargate Atlantis.jpg
Yajisan-Kazusan	יג'יסן קזוסן
Coccinelle	קוקסינל
Hugo Friend	הוגו פרנד
Jim Fuchs	ג'ים פוקס
David Hofstein	דוד הופשטיין
Le Bourgeois gentilhomme	גם הוא באצילים
Hans Nowak	הנס נובאק
Robert Assaraf	רוברט אסרף
Michel Abitbol	מיכאל אביטבול
Caesarea	קטגוריה:קיסריה
Dominic Fortune	דומיניק פורצ'ון
Venus in Furs	ונוס בפרווה
Government ministers of Turkey	קטגוריה:שרי ממשלת טורקיה
Romanian psychologists	קטגוריה:פסיכולוגים רומנים
The Orange and the Green	הכתום והירוק
1990 software	קטגוריה:תוכנות שהושקו ב-1990
Al-Mustansir	אל-מסתנצר השני
Nes Harim	נס הרים
Photography critics	קטגוריה:תאורטיקנים של צילום
Serie A stadiums	תבנית:אצטדיוני הסרייה א'
Mathematical relations	קטגוריה:יחסים מתמטיים
Fragile	Fragile
Shai Maimon	שי מימון
Konovalov	קונובלוב
Monarchs of Cornwall	קטגוריה:מלכי קורנוול
Pavel Pogrebnyak	פאבל פוגרבניאק
Dr Pepper	ד"ר פפר
T-Slam	תיסלם
Danni Bassan	דני בסן
Cristian Daniel Ledesma	כריסטיאן דניאל לדסמה
Moussa Dembélé	מוסא דמבלה
Maladera insanabilis	מלדרה מטרידה
Israeli non-fiction writers	קטגוריה:כותבי ספרי עיון ישראלים
Logistics companies	קטגוריה:חברות לוגיסטיקה
Eritrean cuisine	קטגוריה:המטבח האריתריאי
Cervinae	איילי העולם הישן
Israeli windsurfers	קטגוריה:גולשי רוח ישראלים
Michel de la Barre	מישל דה לה באר
Arab Gas Pipeline	צינור הגז הערבי
Sacha Baron Cohen	תבנית:סשה ברון כהן
Swedish admirals	קטגוריה:אדמירלים שוודים
Yossi Shivhon	יוסי שבחון
Frank Budgen	פרנק באדג'ן
A Space in Time	A Space In Time
Death metal	קטגוריה:להקות דת' מטאל
Kasımpaşa S.K.	קסימפשה
Babar	מסיפורי המלך בבר
Venereology	רפואת מין
American political pundits	קטגוריה:פרשנים פוליטיים אמריקאים
National symbols of Trinidad and Tobago	קטגוריה:טרינידד וטובגו: סמלים לאומיים
Aleppo Governorate	חלב
Tartus Governorate	טרטוס
Hama Governorate	חמאת
Lambada	למבדה
Idlib Governorate	אדלב
Homs Governorate	חומס
Latakia Governorate	לטקיה
Mario Gómez	מריו גומז
Quneitra Governorate	קוניטרה
Mendoza	מנדוסה
Deir ez-Zor Governorate	דיר א-זור
Security and Maintenance	מרכז הפעולות
United Nations people	קטגוריה:האומות המאוחדות: אישים
Avrom Yanovsky	אברום ינובסקי
FK Daugava	FK דאוגבה
Eduardo Propper de Callejón	אדווארדו פרופר דה קאייחון
1996 software	קטגוריה:תוכנות שהושקו ב-1996
1997 software	קטגוריה:תוכנות שהושקו ב-1997
Baby Don't Cry	Baby Don't Cry
Pac's Life	Pac's life
Fogera	פוגרה
Vibrator	ויברטור
Vibrator	ויברטור
Wheeler-Kenyon method	ריבוע חפירה
Yury Chaika	יורי צ'ייקה
History of the Jews in Malaysia	יהדות מלזיה
Soviet–Japanese Basic Convention	הסכם בייג'ינג
Schechter Institute of Jewish Studies	מכון שכטר למדעי היהדות
Jaggi Vasudev	ג'גי ואסודב
Romania squad 1994 FIFA World Cup	תבנית:נבחרת רומניה במונדיאל 1994
Romania squad 1998 FIFA World Cup	תבנית:נבחרת רומניה במונדיאל 1998
Birdland	Birdland
Superman ver1.jpg	תמונה:Supermanmovieposter.jpg
Nanhua Temple	מקדש נאנחווה
Streets of Manhattan	תבנית:תחבורה בניו יורק
57th Street	רחוב 57
French Third Republic	קטגוריה:הרפובליקה הצרפתית השלישית
Der	דיר
Keena Rothhammer	קינה רותהמר
Steve Genter	סטיב ג'נטר
Shlomo Zalman Shragai	שלמה זלמן שרגאי
Rinko Kikuchi	רינקו קיקוצ'י
John Murphy	ג'ון מרפי
Thermal comfort	נוחות אקלימית
Mike Stamm	מייק סטאם
Second French Empire	קטגוריה:הקיסרות השנייה
Stephen Campbell Moore	סטיבן קמפבל מור
Trans-Saharan gas pipeline	צינור הגז הטרנס-סהרי
Do for Love	Do for Love
Albert Gutterson	אלברט גטרסון
Nuclear power stations built in the Soviet Union	קטגוריה:ברית המועצות: תחנות כוח גרעיניות
July Monarchy	קטגוריה:המונרכיה של יולי
Arabian Gulf League teamlist	תבנית:ליגת העל של איחוד האמירויות הערביות
Holocaust museum	מוזיאון השואה
Silvia Poll	סילביה פול
Airports built in the Soviet Union	קטגוריה:ברית המועצות: שדות תעופה
Kathleen Nord	קאתלין נורד
Biasing	ממתח
Antalya	קטגוריה:אנטליה
Nebuchadnezzar IV	נבוכדנצר הרביעי
Yad Kennedy	יד קנדי
Uzbek League	ליגת העל האוזבקית
Fernando Cáceres	פרננדו קאסרס
Plush-crested jay	עורבני מצויץ-כיפה
Cristian Raúl Ledesma	כריסטיאן ראול לדסמה
Roald Dahl	תבנית:רואלד דאל
Battle of Edson's Ridge	קרב רכס אדסון
Haifa District	תבנית:מחוז חיפה
Ulysses Grant	קטגוריה:יוליסס סימפסון גרנט
Kingdom of Georgia	הממלכה הגאורגית המאוחדת
1995 software	קטגוריה:תוכנות שהושקו ב-1995
1992 software	קטגוריה:תוכנות שהושקו ב-1992
Battle for Henderson Field	הקרב על שדה הנדרסון
1980 software	קטגוריה:תוכנות שהושקו ב-1980
1981 software	קטגוריה:תוכנות שהושקו ב-1981
1982 software	קטגוריה:תוכנות שהושקו ב-1982
1983 software	קטגוריה:תוכנות שהושקו ב-1983
1984 software	קטגוריה:תוכנות שהושקו ב-1984
1985 software	קטגוריה:תוכנות שהושקו ב-1985
1986 software	קטגוריה:תוכנות שהושקו ב-1986
1987 software	קטגוריה:תוכנות שהושקו ב-1987
1988 software	קטגוריה:תוכנות שהושקו ב-1988
1989 software	קטגוריה:תוכנות שהושקו ב-1989
LGBT parenting	הורות הומו-לסבית
Vincent Gray/William II	וילהלם השני
Manuela Stellmach	מנואלה סטלמך
UEFA leagues	תבנית:ליגות הכדורגל באירופה
Mary Wayte	מרי וייט
Karen Moe	קארן מו
Pavel Eljanov	פבל אליינוב
Andrea Pollack	אנדריאה פולק
Lysol	ליזול
Theresian Military Academy	האקדמיה הצבאית הטרזיאנית
Quotation mark	מרכאות
Leandro Somoza	לאנדרו סומוסה
Dieppe Canadian War Cemetery	בית הקברות הצבאי הקנדי בדייפ
The Killers discography	דיסקוגרפיה של הקילרס
Libyan Premier League	ליגת העל הלובית בכדורגל
Fractography	חקר פני שבר
Ridley Scott	תבנית:רידלי סקוט
Liga Alef	ליגה א'
Leonardo Ponzio	לאונרדו פונסיו
American awards	קטגוריה:פרסים אמריקאיים
Tze'elim Stream	נחל צאלים
Nicolás Navarro	ניקולאס נבארו
Yosef Yozel Horwitz	יוסף יוזל הורוביץ
Augustus of Prima Porta	אוגוסטוס מפרימה פורטה
Ecovillages	קטגוריה:יישובים אקולוגיים
Planets of the Solar System	קטגוריה:כוכבי לכת במערכת השמש
